id,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year,wins,games,playoff_wins,playoff_games
CHI 2008,CHI,1811,429,2478,6861,0.435,2987,2029,0.756,1533,82,19805,Chicago Bulls,1050,1794,465,2582,6583,0.453,2982,2217,0.766,1699,914,1746,8234,648,1522,0.375,571,3496,1254,5061,0.476,2411,1784,7981,18,635,1305,0.363,474,3528,1197,5556,0.452,2513,2008,33,82,0,0
CHA 2008,CHA,1748,402,2440,6554,0.452,2960,2115,0.714,1510,82,19880,Charlotte Bobcats,892,1785,476,2588,6684,0.466,3115,2102,0.747,1571,999,1721,8318,625,1456,0.355,517,3587,1177,5228,0.497,2598,1777,7959,19,614,1443,0.367,529,3332,1204,5111,0.476,2431,2008,32,82,0,0
MIL 2008,MIL,1760,361,2363,6745,0.449,3026,1980,0.733,1452,82,19855,Milwaukee Bucks,1055,1913,404,2464,6562,0.48,3147,2141,0.766,1639,872,1727,8521,647,1530,0.384,588,3336,1125,5032,0.509,2559,1748,7956,20,544,1313,0.344,452,3418,1210,5432,0.474,2574,2008,26,82,0,0
NYK 2008,NYK,1530,213,2457,6757,0.439,2967,2095,0.727,1524,82,19880,New York Knicks,1029,1773,429,2573,6711,0.474,3184,2078,0.739,1535,924,1665,8490,621,1592,0.369,587,3497,1046,5119,0.507,2597,1761,7948,21,521,1454,0.337,490,3486,1187,5303,0.467,2477,2008,23,82,0,0
HOU 2008,HOU,1757,420,2659,6698,0.448,3003,1848,0.726,1342,82,19730,Houston Rockets,1002,1548,379,2441,6594,0.433,2852,1912,0.737,1410,894,1615,7547,622,1186,0.365,433,3335,1094,5408,0.447,2419,1609,7931,22,598,1707,0.342,583,3661,1125,4991,0.485,2420,2008,55,82,2,6
PHI 2008,PHI,1673,400,2370,6648,0.46,3056,2137,0.706,1509,82,19755,Philadelphia 76ers,1067,1903,420,2293,6504,0.461,3000,1726,0.772,1332,923,1708,7889,550,1549,0.36,557,3216,1289,4955,0.493,2443,1620,7923,23,712,952,0.317,302,3437,1172,5696,0.483,2754,2008,40,82,2,6
CLE 2008,CLE,1640,427,2563,6697,0.439,2937,2061,0.717,1477,82,19855,Cleveland Cavaliers,1092,1721,388,2500,6462,0.455,2939,2070,0.748,1548,814,1666,7932,559,1419,0.357,506,3314,1092,5043,0.482,2433,1712,7903,24,579,1544,0.358,552,3655,1145,5153,0.463,2385,2008,45,82,7,13
NJN 2008,NJN,1925,390,2520,6450,0.443,2856,2237,0.736,1647,82,19830,New Jersey Nets,913,1810,362,2517,6543,0.456,2982,2311,0.768,1774,896,1836,8272,662,1448,0.369,534,3413,1098,5095,0.48,2448,1855,7857,25,521,1430,0.348,498,3433,1229,5020,0.47,2358,2008,34,82,0,0
MIN 2008,MIN,1630,306,2428,6817,0.451,3076,1693,0.736,1246,82,19730,Minnesota Timberwolves,964,1899,467,2545,6481,0.472,3056,2266,0.769,1742,871,1434,8395,610,1516,0.357,541,3416,1103,4965,0.507,2515,1885,7839,26,616,1259,0.35,441,3392,1188,5558,0.474,2635,2008,22,82,0,0
POR 2008,POR,1733,360,2438,6546,0.448,2935,1841,0.767,1412,82,19905,Portland Trail Blazers,901,1714,301,2465,6616,0.451,2983,1828,0.766,1401,957,1656,7900,488,1499,0.356,533,3422,1026,5117,0.479,2450,1642,7820,27,455,1426,0.377,538,3339,1056,5120,0.468,2397,2008,41,82,0,0
SAS 2008,SAS,1718,337,2612,6424,0.457,2938,1774,0.761,1350,82,19730,San Antonio Spurs,771,1490,361,2527,6431,0.444,2857,1710,0.756,1293,776,1625,7427,566,1227,0.342,420,3303,1058,5204,0.468,2437,1537,7820,28,521,1610,0.369,594,3383,1035,4814,0.487,2344,2008,56,82,9,17
LAC 2008,LAC,1732,398,2491,6445,0.438,2820,2178,0.781,1702,82,19805,Los Angeles Clippers,800,1834,388,2657,6670,0.467,3114,2096,0.751,1574,916,1773,8288,590,1393,0.349,486,3573,1112,5277,0.498,2628,1745,7692,29,557,1079,0.324,350,3291,1180,5366,0.46,2470,2008,23,82,0,0
MIA 2008,MIA,1644,355,2342,6336,0.443,2808,1903,0.727,1384,82,19830,Miami Heat,743,1817,341,2617,6477,0.468,3029,2105,0.755,1590,916,1650,8200,631,1497,0.369,552,3533,1166,4980,0.497,2477,1670,7491,30,589,1373,0.358,491,3085,1202,4963,0.467,2317,2008,15,82,0,0
PHO 2007,PHO,2122,394,2583,6855,0.494,3388,1827,0.808,1476,82,19905,Phoenix Suns,737,1548,304,2504,7087,0.457,3238,1901,0.767,1458,1008,1759,8438,566,1387,0.363,504,3512,1242,5700,0.48,2734,1659,9037,1,553,1965,0.399,785,3320,1189,4890,0.532,2603,2007,61,82,6,11
GSW 2007,GSW,1950,466,2456,7048,0.463,3261,2113,0.717,1515,82,19755,Golden State Warriors,940,2023,399,2733,6871,0.462,3171,2419,0.75,1814,1074,1832,8765,680,1664,0.366,609,3807,1525,5207,0.492,2562,1933,8737,2,750,1967,0.356,700,3396,1309,5081,0.504,2561,2007,42,82,5,11
DEN 2007,DEN,1920,435,2558,6805,0.465,3164,2449,0.746,1827,82,19780,Denver Nuggets,1001,2010,424,2461,7088,0.46,3257,1945,0.739,1438,1006,1946,8506,680,1569,0.353,554,3467,1343,5519,0.49,2703,1756,8639,3,678,1440,0.336,484,3559,1352,5365,0.5,2680,2007,45,82,1,5
WAS 2007,WAS,1660,375,2379,6820,0.45,3070,2425,0.765,1855,82,19830,Washington Wizards,998,1942,380,2551,6700,0.473,3166,2146,0.777,1668,973,1927,8598,519,1585,0.377,598,3524,1291,5115,0.502,2568,1823,8556,4,635,1614,0.348,561,3377,1133,5206,0.482,2509,2007,41,82,0,4
LAL 2007,LAL,1850,421,2495,6664,0.466,3103,2221,0.747,1660,82,20030,Los Angeles Lakers,886,1798,409,2508,6719,0.461,3097,2320,0.76,1763,955,1916,8480,649,1462,0.358,523,3463,1208,5257,0.49,2574,1889,8474,5,600,1724,0.353,608,3381,1273,4940,0.505,2495,2007,42,82,1,5
MEM 2007,MEM,1680,407,2375,6448,0.465,2998,2410,0.761,1835,82,19980,Memphis Grizzlies,866,2062,450,2483,6761,0.486,3287,2113,0.759,1603,965,1992,8753,681,1480,0.389,576,3448,1253,5281,0.513,2711,1827,8331,6,564,1362,0.367,500,3241,1343,5086,0.491,2498,2007,22,82,0,0
UTA 2007,UTA,2024,339,2456,6471,0.474,3069,2462,0.743,1830,82,19805,Utah Jazz,1030,1552,438,2223,6191,0.455,2819,2534,0.767,1943,813,2010,8087,623,1424,0.355,506,3036,1230,4767,0.485,2313,2067,8322,7,577,1056,0.335,354,3486,1277,5415,0.501,2715,2007,51,82,9,17
SAC 2007,SAC,1665,265,2396,6532,0.45,2941,2473,0.765,1891,82,19805,Sacramento Kings,797,1840,405,2648,6671,0.472,3147,2115,0.757,1600,907,1990,8451,572,1524,0.365,557,3555,1335,5147,0.503,2590,1792,8303,8,671,1513,0.35,530,3193,1194,5019,0.48,2411,2007,33,82,0,0
DAL 2007,DAL,1632,408,2515,6442,0.467,3010,2045,0.805,1646,82,19755,Dallas Mavericks,920,1471,312,2286,6241,0.447,2790,2216,0.746,1654,839,1811,7609,565,1074,0.349,375,3125,1190,5167,0.467,2415,1837,8201,9,560,1404,0.381,535,3435,1140,5038,0.491,2475,2007,67,82,2,6
MIL 2007,MIL,1771,224,2272,6714,0.465,3121,1919,0.733,1406,82,19855,Milwaukee Bucks,941,2077,433,2468,6673,0.48,3201,2109,0.742,1564,1062,1718,8531,615,1537,0.368,565,3530,1284,5136,0.513,2636,1821,8172,10,587,1472,0.356,524,3213,1240,5242,0.495,2597,2007,28,82,0,0
TOR 2007,TOR,1822,321,2480,6547,0.463,3032,1982,0.788,1562,82,19755,Toronto Raptors,755,1742,317,2641,6593,0.463,3051,1911,0.754,1441,848,1786,8076,489,1491,0.357,533,3489,1241,5102,0.494,2518,1672,8157,11,581,1464,0.363,531,3235,1104,5083,0.492,2501,2007,47,82,2,6
SEA 2007,SEA,1695,301,2322,6628,0.46,3047,1911,0.791,1511,82,19830,Seattle SuperSonics,928,1870,341,2408,6568,0.476,3126,2124,0.751,1596,954,1635,8367,590,1437,0.361,519,3362,1233,5131,0.508,2607,1801,8130,12,631,1451,0.362,525,3250,1268,5177,0.487,2522,2007,31,82,0,0
CHI 2007,CHI,1832,445,2597,6663,0.457,3046,2083,0.734,1528,82,19780,Chicago Bulls,984,1675,433,2456,6416,0.435,2793,2219,0.73,1619,897,1900,7689,614,1387,0.349,484,3353,1429,5029,0.459,2309,1908,8100,13,639,1237,0.388,480,3581,1310,5426,0.473,2566,2007,49,82,6,10
SAS 2007,SAS,1814,417,2577,6328,0.474,2999,1980,0.751,1486,82,19780,San Antonio Spurs,761,1416,337,2379,6463,0.443,2860,1756,0.74,1300,829,1739,7388,580,1101,0.334,368,3208,1176,5362,0.465,2492,1588,8079,14,587,1561,0.381,595,3338,1137,4767,0.504,2404,2007,58,82,16,20
NJN 2007,NJN,1962,273,2525,6379,0.457,2913,2153,0.727,1566,82,19880,New Jersey Nets,822,1805,369,2526,6476,0.45,2911,2261,0.762,1723,867,1886,8064,584,1455,0.357,519,3393,1188,5021,0.476,2392,1869,8001,15,499,1676,0.363,609,3347,1212,4703,0.49,2304,2007,41,82,6,12
NYK 2007,NYK,1532,260,2516,6356,0.457,2903,2396,0.715,1714,82,20005,New York Knicks,1032,1748,406,2297,6566,0.46,3021,2135,0.756,1613,885,1875,8228,616,1523,0.376,573,3182,1122,5043,0.485,2448,1932,7994,16,543,1370,0.346,474,3548,1405,4986,0.487,2429,2007,33,82,0,0
HOU 2007,HOU,1704,337,2673,6528,0.445,2906,1906,0.753,1436,82,19855,Houston Rockets,880,1588,353,2548,6503,0.429,2793,2000,0.749,1497,800,1631,7555,571,1346,0.351,472,3348,1163,5157,0.45,2321,1710,7953,17,583,1893,0.372,705,3553,1162,4635,0.475,2201,2007,52,82,3,7
CHA 2007,CHA,1836,369,2346,6643,0.446,2960,2136,0.734,1568,82,20005,Charlotte Bobcats,920,1717,437,2562,6450,0.465,2999,2404,0.75,1802,929,1786,8252,603,1245,0.363,452,3491,1296,5205,0.489,2547,1985,7945,18,638,1280,0.357,457,3266,1224,5363,0.467,2503,2007,33,82,0,0
CLE 2007,CLE,1708,353,2529,6658,0.447,2978,2133,0.696,1484,82,19880,Cleveland Cavaliers,1039,1649,349,2461,6337,0.448,2838,2096,0.734,1539,807,1804,7620,540,1231,0.329,405,3268,1254,5106,0.476,2433,1781,7934,19,625,1404,0.352,494,3568,1177,5254,0.473,2484,2007,50,82,12,20
MIN 2007,MIN,1848,325,2474,6503,0.461,2997,1892,0.792,1499,82,20005,Minnesota Timberwolves,819,1782,360,2438,6689,0.46,3075,1987,0.76,1510,957,1679,8178,583,1488,0.348,518,3395,1163,5201,0.492,2557,1758,7877,20,532,1089,0.353,384,3293,1278,5414,0.483,2613,2007,32,82,0,0
DET 2007,DET,1768,472,2374,6484,0.454,2942,1988,0.774,1539,82,19880,Detroit Pistons,948,1647,290,2403,6337,0.445,2819,2006,0.74,1484,973,1668,7531,521,1205,0.339,409,3376,1205,5132,0.47,2410,1672,7872,21,583,1305,0.344,449,3322,1001,5179,0.481,2493,2007,53,82,10,16
BOS 2007,BOS,1630,382,2391,6454,0.443,2858,2178,0.767,1670,82,19855,Boston Celtics,918,1811,449,2476,6337,0.468,2966,2376,0.747,1776,848,1757,8137,604,1212,0.354,429,3324,1250,5125,0.495,2537,1971,7857,22,589,1283,0.367,471,3309,1350,5171,0.462,2387,2007,24,82,0,0
LAC 2007,LAC,1762,472,2484,6318,0.456,2880,2245,0.788,1769,82,19730,Los Angeles Clippers,888,1722,321,2377,6436,0.452,2912,2142,0.748,1602,843,1829,7881,582,1341,0.339,455,3220,1132,5095,0.482,2457,1858,7843,23,596,903,0.348,314,3372,1239,5415,0.474,2566,2007,40,82,0,0
IND 2007,IND,1680,447,2441,6561,0.438,2872,2125,0.76,1615,82,19780,Indiana Pacers,990,1642,410,2499,6416,0.457,2931,2311,0.753,1741,915,1942,8040,644,1175,0.372,437,3414,1289,5241,0.476,2494,1912,7840,24,599,1389,0.346,481,3431,1335,5172,0.462,2391,2007,35,82,0,0
NOK 2007,NOK,1537,347,2512,6674,0.445,2971,1941,0.74,1436,82,19880,New Orleans/Oklahoma City Hornets,1025,1703,392,2493,6579,0.457,3004,1839,0.759,1395,853,1733,7962,554,1575,0.355,559,3346,1119,5004,0.489,2445,1620,7833,25,522,1256,0.362,455,3537,1187,5418,0.464,2516,2007,39,82,0,0
PHI 2007,PHI,1669,390,2353,6408,0.458,2932,2135,0.767,1637,82,19880,Philadelphia 76ers,899,1825,320,2404,6570,0.463,3039,1926,0.754,1452,969,1801,8033,606,1424,0.353,503,3373,1280,5146,0.493,2536,1671,7785,26,590,823,0.345,284,3252,1258,5585,0.474,2648,2007,35,82,0,0
ORL 2007,ORL,1525,416,2418,6090,0.472,2875,2393,0.702,1679,82,19780,Orlando Magic,920,1609,376,2217,6191,0.442,2739,2327,0.76,1768,865,1921,7707,678,1306,0.353,461,3082,1232,4885,0.466,2278,1904,7771,27,565,962,0.356,342,3338,1392,5128,0.494,2533,2007,40,82,0,4
MIA 2007,MIA,1681,442,2526,6288,0.464,2919,2019,0.69,1393,82,19855,Miami Heat,817,1656,314,2467,6517,0.444,2895,2039,0.742,1513,921,1790,7834,562,1495,0.355,531,3388,1185,5022,0.471,2364,1749,7759,28,566,1539,0.343,528,3343,1201,4749,0.503,2391,2007,44,82,0,4
POR 2007,POR,1513,380,2299,6392,0.45,2874,2006,0.769,1543,82,19955,Portland Trail Blazers,923,1703,380,2347,6292,0.471,2962,2157,0.778,1678,850,1750,8069,539,1293,0.361,467,3197,1127,4999,0.499,2495,1931,7717,29,555,1232,0.346,426,3222,1236,5160,0.474,2448,2007,32,82,0,0
ATL 2007,ATL,1573,446,2312,6372,0.444,2831,2203,0.761,1677,82,19880,Atlanta Hawks,976,1732,421,2370,6335,0.466,2953,2315,0.734,1699,948,1853,8070,597,1236,0.376,465,3318,1247,5099,0.488,2488,1970,7680,30,609,1038,0.329,341,3288,1306,5334,0.467,2490,2007,30,82,0,0
PHO 2006,PHO,2179,412,2650,7167,0.479,3430,1475,0.806,1189,82,19955,Phoenix Suns,778,1546,282,2735,7141,0.454,3243,1956,0.731,1429,1028,1623,8431,591,1423,0.363,516,3763,1218,5718,0.477,2727,1683,8886,1,549,2097,0.399,837,3428,1088,5070,0.511,2593,2006,54,82,10,20
SEA 2006,SEA,1696,306,2233,6711,0.459,3077,2104,0.785,1652,82,19830,Seattle SuperSonics,1013,1973,399,2316,6596,0.485,3202,2255,0.76,1713,1003,1820,8659,598,1445,0.375,542,3319,1194,5151,0.516,2660,1933,8411,2,622,1631,0.371,605,3246,1208,5080,0.487,2472,2006,35,82,0,0
WAS 2006,WAS,1523,339,2344,6656,0.447,2975,2496,0.757,1889,82,19830,Washington Wizards,1035,1766,341,2477,6477,0.465,3014,2222,0.745,1655,964,2075,8184,537,1379,0.363,501,3441,1326,5098,0.493,2513,1855,8336,3,658,1394,0.357,497,3379,1143,5262,0.471,2478,2006,42,82,2,6
TOR 2006,TOR,1593,272,2291,6639,0.454,3013,2089,0.791,1653,82,19955,Toronto Raptors,864,1938,359,2539,6448,0.491,3164,2267,0.748,1696,835,1834,8532,518,1363,0.373,508,3374,1165,5085,0.522,2656,1965,8287,4,529,1620,0.375,608,3155,1071,5019,0.479,2405,2006,27,82,0,0
DEN 2006,DEN,1921,463,2486,6672,0.461,3078,2312,0.744,1721,82,19930,Denver Nuggets,903,1959,436,2469,6764,0.454,3070,2090,0.736,1538,965,1911,8208,586,1480,0.358,530,3434,1323,5284,0.481,2540,1863,8227,5,698,1076,0.325,350,3389,1216,5596,0.487,2728,2006,44,82,1,5
MIA 2006,MIA,1692,442,2675,6355,0.478,3039,2310,0.7,1616,82,19755,Miami Heat,858,1596,298,2359,6529,0.44,2871,2223,0.739,1642,826,1938,7874,560,1359,0.361,490,3185,1063,5170,0.461,2381,1871,8191,6,522,1441,0.345,497,3533,1186,4914,0.517,2542,2006,52,82,16,23
LAL 2006,LAL,1734,350,2488,6607,0.453,2992,2172,0.745,1618,82,19855,Los Angeles Lakers,970,1730,354,2399,6547,0.45,2945,2123,0.747,1585,893,1925,7949,536,1342,0.353,474,3292,1158,5205,0.475,2471,1894,8154,7,628,1583,0.349,552,3458,1143,5024,0.486,2440,2006,45,82,3,7
PHI 2006,PHI,1653,404,2425,6546,0.458,3001,2330,0.76,1770,82,19905,Philadelphia 76ers,873,1882,386,2533,6699,0.463,3100,2111,0.762,1609,974,1898,8307,630,1420,0.351,498,3507,1269,5279,0.493,2602,1712,8147,8,651,1031,0.364,375,3298,1159,5515,0.476,2626,2006,38,82,0,0
DAL 2006,DAL,1473,488,2431,6375,0.462,2948,2322,0.783,1818,82,19880,Dallas Mavericks,1030,1433,400,2209,6319,0.443,2801,2163,0.752,1626,935,1958,7632,536,1120,0.361,404,3144,1151,5199,0.461,2397,1834,8130,9,593,1113,0.374,416,3461,1112,5262,0.481,2532,2006,60,82,14,23
SAC 2006,SAC,1825,299,2473,6500,0.454,2954,2173,0.784,1704,82,19830,Sacramento Kings,852,1733,403,2503,6726,0.454,3053,1891,0.747,1412,953,1886,7980,656,1316,0.351,462,3456,1199,5410,0.479,2591,1672,8106,10,608,1408,0.351,494,3325,1199,5092,0.483,2460,2006,44,82,2,6
GSW 2006,GSW,1694,357,2485,6785,0.433,2939,2190,0.718,1573,82,19830,Golden State Warriors,980,1828,409,2662,6674,0.457,3047,2187,0.743,1624,985,1919,8187,576,1335,0.351,469,3647,1258,5339,0.483,2578,1941,8076,11,604,1832,0.341,625,3465,1156,4953,0.467,2314,2006,34,82,0,0
BOS 2006,BOS,1716,422,2432,6322,0.467,2951,2204,0.755,1664,82,19880,Boston Celtics,813,1763,404,2369,6462,0.456,2944,2457,0.743,1825,910,1837,8159,688,1265,0.353,446,3279,1210,5197,0.481,2498,2033,8033,12,578,1290,0.362,467,3245,1359,5032,0.494,2484,2006,33,82,0,0
MIL 2006,MIL,1769,270,2448,6566,0.453,2976,2115,0.738,1561,82,19855,Milwaukee Bucks,929,1847,414,2475,6383,0.466,2972,2237,0.747,1671,832,1937,8105,606,1385,0.354,490,3307,1182,4998,0.497,2482,1902,8020,13,597,1335,0.38,507,3377,1197,5231,0.472,2469,2006,40,82,1,5
CHI 2006,CHI,1804,345,2602,6737,0.446,3004,1967,0.738,1452,82,19905,Chicago Bulls,906,1652,420,2541,6515,0.426,2773,2472,0.777,1921,881,1883,7968,611,1428,0.351,501,3422,1228,5087,0.447,2272,2038,8020,14,508,1477,0.379,560,3508,1224,5260,0.465,2444,2006,41,82,2,6
CLE 2006,CLE,1560,392,2511,6412,0.454,2908,2318,0.729,1689,82,19830,Cleveland Cavaliers,959,1666,357,2421,6481,0.455,2949,1970,0.742,1462,807,1842,7819,540,1291,0.356,459,3228,1079,5190,0.48,2490,1733,8002,15,567,1465,0.339,497,3470,1137,4947,0.487,2411,2006,50,82,7,13
ATL 2006,ATL,1625,394,2232,6496,0.454,2946,2207,0.75,1656,82,19880,Atlanta Hawks,1069,1689,422,2335,6433,0.478,3075,2372,0.745,1768,981,1855,8362,597,1205,0.368,444,3316,1227,5228,0.503,2631,2054,7972,16,587,1154,0.367,424,3301,1284,5342,0.472,2522,2006,26,82,0,0
LAC 2006,LAC,1708,503,2704,6443,0.465,2993,2142,0.791,1694,82,19805,Los Angeles Clippers,828,1765,355,2432,6638,0.435,2887,2175,0.732,1593,858,1777,7841,570,1367,0.347,474,3290,1053,5271,0.458,2413,1872,7970,17,534,843,0.344,290,3532,1185,5600,0.483,2703,2006,47,82,7,12
CHA 2006,CHA,1717,354,2270,6843,0.433,2961,2186,0.729,1593,82,19905,Charlotte Bobcats,990,1881,441,2667,6410,0.478,3065,2283,0.737,1683,940,1929,8271,577,1285,0.356,458,3607,1464,5125,0.509,2607,1960,7943,18,822,1261,0.339,428,3260,1167,5582,0.454,2533,2006,26,82,0,0
DET 2006,DET,1971,490,2347,6558,0.455,2983,1950,0.727,1418,82,19830,Detroit Pistons,975,1541,285,2399,6450,0.452,2915,1677,0.736,1235,951,1726,7394,481,1012,0.325,329,3350,1145,5438,0.476,2586,1513,7941,19,580,1451,0.384,557,3322,931,5107,0.475,2426,2006,64,82,10,18
NYK 2006,NYK,1468,271,2360,6206,0.455,2822,2587,0.726,1878,82,19930,New York Knicks,1034,1744,437,2280,6359,0.467,2967,2480,0.753,1868,883,2079,8367,674,1495,0.378,565,3163,1154,4864,0.494,2402,2157,7842,20,555,884,0.362,320,3394,1449,5322,0.47,2502,2006,23,82,0,0
SAS 2006,SAS,1717,467,2548,6342,0.472,2993,1891,0.702,1327,82,19805,San Antonio Spurs,851,1336,343,2417,6420,0.433,2782,1912,0.74,1414,886,1709,7278,599,886,0.339,300,3303,1136,5534,0.449,2482,1714,7837,21,543,1362,0.385,524,3399,1126,4980,0.496,2469,2006,63,82,7,13
ORL 2006,ORL,1495,362,2402,6167,0.472,2911,2277,0.73,1663,82,19905,Orlando Magic,892,1644,386,2239,6327,0.454,2870,2285,0.732,1672,911,1899,7872,615,1287,0.357,460,3150,1099,5040,0.478,2410,1908,7784,22,532,796,0.376,299,3294,1240,5371,0.486,2612,2006,36,82,0,0
IND 2006,IND,1631,409,2559,6274,0.444,2786,2158,0.737,1591,82,19730,Indiana Pacers,898,1520,399,2416,6504,0.435,2831,2060,0.733,1511,968,1800,7544,661,1083,0.343,371,3384,1112,5421,0.454,2460,1821,7699,23,598,1536,0.349,536,3457,1254,4738,0.475,2250,2006,41,82,2,6
NJN 2006,NJN,1884,278,2539,6317,0.44,2778,2187,0.758,1658,82,19780,New Jersey Nets,822,1641,329,2599,6222,0.439,2730,2232,0.741,1654,787,1889,7579,589,1336,0.348,465,3386,1177,4886,0.464,2265,1903,7691,24,558,1447,0.33,477,3361,1119,4870,0.472,2301,2006,49,82,5,11
NOK 2006,NOK,1519,311,2379,6428,0.44,2831,2176,0.758,1649,82,19805,New Orleans/Oklahoma City Hornets,918,1584,432,2498,6286,0.459,2883,2014,0.76,1530,860,1910,7842,527,1486,0.367,546,3358,1197,4800,0.487,2337,1786,7611,25,611,885,0.339,300,3297,1095,5543,0.457,2531,2006,38,82,0,0
UTA 2006,UTA,1772,492,2380,6207,0.442,2744,2466,0.719,1774,82,19880,Utah Jazz,1071,1511,463,2237,6077,0.449,2730,2466,0.746,1839,871,2104,7789,663,1297,0.378,490,3108,1166,4780,0.469,2240,2032,7573,26,524,925,0.336,311,3451,1290,5282,0.461,2433,2006,41,82,0,0
MEM 2006,MEM,1586,442,2379,6125,0.448,2746,2077,0.711,1476,82,19855,Memphis Grizzlies,834,1605,456,2404,6172,0.436,2691,1942,0.754,1465,927,1867,7255,597,1223,0.334,408,3331,1213,4949,0.461,2283,1757,7558,27,600,1578,0.374,590,3213,1134,4547,0.474,2156,2006,49,82,0,4
MIN 2006,MIN,1716,471,2422,6340,0.456,2888,1895,0.758,1436,82,19855,Minnesota Timberwolves,811,1554,374,2411,6474,0.441,2852,2072,0.736,1525,974,1736,7676,539,1229,0.364,447,3385,1139,5245,0.459,2405,1889,7522,28,559,942,0.329,310,3233,1189,5398,0.478,2578,2006,33,82,0,0
HOU 2006,HOU,1580,320,2565,6252,0.433,2708,1980,0.759,1502,82,19830,Houston Rockets,849,1647,373,2477,6310,0.429,2708,2135,0.731,1560,874,1716,7517,582,1465,0.369,541,3351,1094,4845,0.447,2167,1863,7387,29,588,1414,0.332,469,3414,1193,4838,0.463,2239,2006,34,82,0,0
POR 2006,POR,1490,435,2203,6267,0.445,2791,1944,0.689,1339,82,19730,Portland Trail Blazers,886,1737,403,2445,6472,0.468,3032,1971,0.76,1498,1029,1704,8060,592,1306,0.381,498,3474,1060,5166,0.491,2534,1828,7285,30,529,1042,0.349,364,3089,1205,5225,0.464,2427,2006,21,82,0,0
PHO 2005,PHO,1927,453,2652,7018,0.477,3351,2080,0.748,1556,82,19780,Phoenix Suns,967,1741,342,2550,7485,0.445,3328,1775,0.744,1320,1233,1750,8470,627,1476,0.335,494,3783,1131,6009,0.472,2834,1563,9054,1,572,2026,0.393,796,3619,1125,4992,0.512,2555,2005,62,82,9,15
SAC 2005,SAC,2005,316,2455,6978,0.459,3203,2004,0.787,1577,82,19855,Sacramento Kings,1023,1766,365,2532,6941,0.459,3186,2011,0.738,1485,1102,1762,8328,622,1318,0.357,471,3634,1204,5623,0.483,2715,1685,8505,2,674,1396,0.374,522,3478,1073,5582,0.48,2681,2005,50,82,1,5
DAL 2005,DAL,1610,461,2530,6691,0.457,3058,2314,0.789,1826,82,19730,Dallas Mavericks,990,1714,399,2467,6712,0.438,2941,2123,0.754,1601,1072,1899,7934,584,1366,0.33,451,3539,1278,5346,0.466,2490,1827,8405,3,708,1273,0.364,463,3520,1102,5418,0.479,2595,2005,58,82,6,13
MIA 2005,MIA,1790,474,2639,6368,0.486,3097,2466,0.672,1658,82,19980,Miami Heat,887,1620,264,2397,6705,0.427,2865,2134,0.76,1621,922,2020,7792,611,1269,0.348,441,3319,1085,5436,0.446,2424,1814,8327,4,528,1260,0.377,475,3526,1127,5108,0.513,2622,2005,59,82,11,15
BOS 2005,BOS,1810,423,2438,6511,0.468,3046,2323,0.764,1775,82,19880,Boston Celtics,909,1859,402,2427,6664,0.444,2960,2423,0.753,1825,1039,1937,8233,714,1370,0.356,488,3466,1277,5294,0.467,2472,2000,8304,5,667,1252,0.349,437,3347,1297,5259,0.496,2609,2005,45,82,3,7
WAS 2005,WAS,1563,347,2374,6794,0.437,2966,2476,0.725,1795,82,19780,Washington Wizards,1133,1885,412,2510,6748,0.459,3099,2034,0.762,1549,1017,1995,8268,586,1432,0.364,521,3527,1306,5316,0.485,2578,1807,8241,6,716,1498,0.343,514,3507,1172,5296,0.463,2452,2005,45,82,4,10
TOR 2005,TOR,1670,317,2444,6656,0.444,2952,2101,0.774,1626,82,19805,Toronto Raptors,844,1814,360,2720,6708,0.467,3133,2165,0.744,1610,991,1795,8311,507,1222,0.356,435,3711,1182,5486,0.492,2698,1876,8178,7,621,1681,0.385,648,3288,1087,4975,0.463,2304,2005,33,82,0,0
DEN 2005,DEN,1958,489,2473,6615,0.459,3038,2313,0.763,1765,82,19755,Denver Nuggets,967,1778,458,2441,6606,0.447,2950,2189,0.746,1632,975,1960,7995,636,1342,0.345,463,3416,1342,5264,0.472,2487,1878,8161,8,750,940,0.34,320,3440,1224,5675,0.479,2718,2005,49,82,1,5
ORL 2005,ORL,1583,441,2544,6679,0.454,3034,2335,0.759,1772,82,19705,Orlando Magic,1038,1747,354,2428,6826,0.451,3081,2306,0.754,1739,1024,1920,8344,698,1291,0.343,443,3452,1190,5535,0.477,2638,1937,8160,9,633,916,0.349,320,3582,1322,5763,0.471,2714,2005,36,82,0,0
